movieName;Metascore_w;Author;AuthorHref;Date;Summary;InteractionsYesCount;InteractionsTotalCount;InteractionsThumbUp;InteractionsThumbDown;rel_inc;abs_inc
the-lego-movie;9;LKnapp0425;/user/LKnapp0425;Feb  9, 2014;"[ ""I am a 56 year old grandmother who took my LEGO loving, creative seven year old granddaughter for an after school treat to see THE LEGO movie.  I don't know if it was the fault of the movie or the way our theater started the movie but initially there was little to no fanfare for the beginning of the movie.  At one point, my granddaughter and I looked at each other and we both quietly whispered at the same moment  how much we both felt as if we had sensory overload with the pace of the movie, a story we didn't initially understand, the sounds, the colors and graphics.  However, once we were comfortably settled in we thoroughly enjoyed the movie.  There's humor suitable for adult and child alike.  My granddaughter loved it because it included humor, adventure, superheroes, good vs. evil and romance!"", """", ""Yes, it may one big advertisement for LEGOS but I say, \""Good for them!\"" because it was so entertaining and I can think of a lot worse we're all exposed to on a daily basis."", """", ""As I watched the film, I marveled at the detailed graphics and the hard work and investment made by the creators and animators.  Put simply:  Adults would do well to see the movie purely for the creativity if nothing else."", """", ""We appreciated the  celebrity voice-overs too.  While the live-action in the movie may seem subdued in relation to the rest of the movie, it certainly goes a long way to tying everything together and helping it all make sense."" ]";5.0;11.0;5.0;6.0;inf;9
american-hustle;9;moviewags;/user/moviewags;Jan  1, 2014;[];0.0;0.0;0.0;0.0;inf;9
silver-linings-playbook;9;voiders;/user/voiders;Apr 26, 2013;[];0.0;1.0;0.0;1.0;inf;9
fight-club;9;voiders;/user/voiders;Apr 30, 2013;[];4.0;4.0;4.0;0.0;inf;9
the-age-of-adaline;8;ricksroses;/user/ricksroses;Jun 11, 2015;[];0.0;0.0;0.0;0.0;inf;8
home-2015;8;ricksroses;/user/ricksroses;Jun 11, 2015;[];0.0;0.0;0.0;0.0;inf;8
woman-in-gold;8;ricksroses;/user/ricksroses;Jun 11, 2015;[];1.0;1.0;1.0;0.0;inf;8
dawn-of-the-planet-of-the-apes;8;ricksroses;/user/ricksroses;Aug 12, 2014;"[ ""Another pretty darn good installment of the Ape movies. A most entertaining movie for those of us who like this series of movies. The digital changes to this type of movie is a considerable improvement over the older movies with make up on actors that make them appear stiff lipped with out facial expression."" ]";0.0;1.0;0.0;1.0;inf;8
the-worlds-end;8;ricksroses;/user/ricksroses;Sep 12, 2013;"[ ""This movie is a fast paced quick witted movie that will test your ability to pay attention to absorb all of the great dialog and inter action between all the actors.... great acting, good story, and great humor.......... I was not sure I would like it because I saw the first Hangover movie and thought it was an insanely stupid drunk a log 3 stooges type of movie.. this is much different and lots of fun"" ]";0.0;3.0;0.0;3.0;inf;8
captain-america-the-winter-soldier;8;ricksroses;/user/ricksroses;May 19, 2014;[];1.0;2.0;1.0;1.0;inf;8
guardians-of-the-galaxy;8;ricksroses;/user/ricksroses;Aug 12, 2014;"[ ""I liked this movie a lot.... There is only one thing I could say that could be considered negative and that is that it was so loud during dialogue between actors that I missed some of the humor. Even then some laugh out loud funny spots with a really interesting story."" ]";1.0;3.0;1.0;2.0;inf;8
flight;8;Edeltraud;/user/Edeltraud;Dec  2, 2012;"[ ""A flawed genius with a moral dilemma set against the backdrop of incredible heroics, intertwined with people who may or may not support him, and handsomely portrayed by Denzel. OK, the movie has it's flaws, too, but at least it was less predictable and had a few more surprises than most of the junk out there. The most unrealistic aspect was that the media didn't find Whip as he floundered around at funerals, bars and the crash site. BTW a movie's title doesn't have to be a tell-all. Besides, \""Flight\"" could certainly be metaphorical, too, in this story. I'd have liked a less tidy ending. He could've walked away to face his demons another way, leaving a more ambiguous moral resolution. But it was a good grown up movie without explosions and guns going off every two seconds. You could ask yourself what should he do, what will he do - what would I do? It was really enjoyable not to have a soundtrack that just thumped out what my emotional state was supposed to be all the time, there were several dramatic scenes with no background music at all. I'm not a fan of drugalcohol themes, but this was just a device here - at its core the story was about whether or not our good deeds can stand alone or are they diminished by our bad ones?"" ]";0.0;0.0;0.0;0.0;inf;8
the-voices;8;Edeltraud;/user/Edeltraud;Oct 26, 2017;"[ ""Impossibly, this flick is a comedy, dark comedy, thriller, gore-fest/slasher, psychological thriller, absurdist, romance (and finally, a musical) that sorta, more or less, works. With that mixed genre, the viewer is whipped hither & yon, never quite sure what to expect or what to make of the goings on. The day after I saw it, I liked it even better & have to give it a pretty high score just for originality and the fact that it doesn't go off the rails (at least not in a bad way, you know, where the concept devolves into some annoying miasma of plot twists & artsy imagery.) Not only does The Voices cover all the aforementioned ground, but the film also provides insight into mental illness & childhood trauma in an entertaining way. Ryan Reynolds & Anna Kendrick wouldn't especially draw me to a movie, but they did a nice job here, especially Reynolds in his turn as a Dexter-esque dude. The topic of women getting stalked & slashed is something I'd typically avoid (hate that fetishy vibe & have seen it too much) -- but somehow this turn manages to embrace that theme in a OK way & give it a fresh take."" ]";0.0;0.0;0.0;0.0;inf;8
cars;8;voiders;/user/voiders;Apr 26, 2013;[];1.0;2.0;1.0;1.0;inf;8
tomorrowland;7;ricksroses;/user/ricksroses;Jun 11, 2015;[];1.0;1.0;1.0;0.0;inf;7
ex-machina;7;ricksroses;/user/ricksroses;Jun 11, 2015;[];0.0;0.0;0.0;0.0;inf;7
mad-max-fury-road;7;ricksroses;/user/ricksroses;Jun 11, 2015;"[ ""I have not seen many of the Mad Max movies so it might be a little difficult for me to say that this was as good as many have said but I go to the movies to be entertained and this one surly did a good job of that. Interesting story line and good acting."" ]";3.0;8.0;3.0;5.0;inf;7
draft-day;7;ricksroses;/user/ricksroses;May 19, 2014;[];2.0;2.0;2.0;0.0;inf;7
closed-circuit;7;ricksroses;/user/ricksroses;Sep 13, 2013;[];1.0;1.0;1.0;0.0;inf;7
chappie;7;ricksroses;/user/ricksroses;Jun 11, 2015;"[ ""This science fiction movie held my attention through out the time in the theater. Good story and good action scenes and a likeable caricature made this a fun fiction movie although a little like I-Robot with different looking robots and story. Still good piece of entertainment."" ]";0.0;0.0;0.0;0.0;inf;7
get-out;7;Edeltraud;/user/Edeltraud;Mar 19, 2017;"[ ""Modern & interesting enough, but not really anything scary, if that's what your looking for. Even the psychological stuff could have been amped up.  I enjoyed it -- but not a fan of Allison Williams, she's cardboard-y in all her roles. It's too bad the movie didn't make better use of Chris' jujitsu skills at least once & it seemed like a big deal was made about the family's racist son/brother but then the character was basically dropped except for a plot device. Some original takes & the TSA angle is a lot of fun. It's worth a watch, definitely when it gets to netflix."" ]";0.0;3.0;0.0;3.0;inf;7
gone-girl;7;Edeltraud;/user/Edeltraud;Oct 18, 2014;"[ ""Entertaining enough, fun to see NPH in this role...I'm not a fan of Affleck so can't get excited about his performance and he's one of the main characters. The movie went on a little long for my tastes, could have wrapped at least 15-20 mins. earlier. Good, not a masterpiece and if you miss at the cinema its a good get for Netflix this winter."" ]";2.0;3.0;2.0;1.0;inf;7
slither;7;Edeltraud;/user/Edeltraud;Oct 31, 2013;"[ ""Family fun day! Come on this was good, silly fun for what it was. I can't say good clean fun 'cause there's a massively phallic aspect to it. Part of the fun."", ""We watched this for our Halloween flick and it was perfect for that. I could get up and answer trick or treaters at the door and not miss a thing. Wouldn't ordinarily choose this, but for the occasion I have no complaints. It worked, in part, because the actorsdirector didn't play it for camp, they just let it be camp. From Rosemary's Baby to Jabba the Hut, figuring out the homages was half of the viewing pleasure...all this plus a gooey romance."" ]";1.0;2.0;1.0;1.0;inf;7
gravity;7;Edeltraud;/user/Edeltraud;Oct  6, 2013;"[ ""Yup, it's good in all the ways folks mention, a technical marvel that will get a pile of awards on that count.  I do always appreciate a film that dares to do something different and Gravity takes a few chances such as having a solo character for much of the movie."", ""But there are flaws or less than great aspects."", ""My complaints are that some of the basics are unrealistic. Every movie today has a gratuitous throwing up scene, but there was none here where it would definitely happen. Also, Bullock is neat and clean when she floats out of her suit a la Barbarella  and after the ordeal she'd been through that didn't fly. There'd definitely be an excrement bag to discard. And if you've seen the flick, you know she'd have a ton of bruises, if not broken bones due to the impacts she suffered. At least her shoulder would be thrown out  right?  I think she'd have contusions from head to toe. Her space suit never ripped and no duck (duct) tape was employed. There could have been more of a McGiver element."", ""The first hour was quite gripping, but the movie kind of fell apart after that and the ending was particularly lame, no one knew how to wrap it up. But it was fun, go see it."" ]";0.0;0.0;0.0;0.0;inf;7
the-secret-life-of-walter-mitty;7;LKnapp0425;/user/LKnapp0425;Dec 29, 2013;"[ ""The Secret Life of Walter Mitty is a fine remake of Danny Kaye's 1947 version.  The cinematography is outstanding!  While some points throughout the movie may seem implausible, at its core the film demonstrates that reality can be as rewarding as fantasy.  It's  a fine movie for the entire family and appropriate for the holiday season."", """", ""Ben Stiller served the movie well as an actor and director. Both Stiller and Kristen Wiig are fine comic talents as long as the comedy isn't too absurd.  They both have proven there's a fine line between comedy and drama. Ben Stiller gives a solid performance as the lonely but kind-hearted Mitty who has a imagination rich with fantasies.  Stiller  was also exceptional in the drama as the famed drug addicted television screenwriter, Jerry Stahl in Permanent Midnight.  I hope Stiller and Wiig will continue to seek out both comedic  and dramatic roles in the future."", """", ""I do question the pre-Oscar hype for Ben Stiller and The Secret Life of Walter Mitty.  It's rare for a comedy to win prestigious awards.  However, this film should be nominated for the Oscar, SAG as well as other coveted awards and we should watch to see if The Secret Life of Walter Mitty can turn fantasies into the reality of winning such honors during the award season."" ]";0.0;1.0;0.0;1.0;inf;7
rio-2;6;ricksroses;/user/ricksroses;May 19, 2014;[];0.0;0.0;0.0;0.0;inf;6
2-guns;6;ricksroses;/user/ricksroses;Sep 12, 2013;[];0.0;0.0;0.0;0.0;inf;6
epic-2013;6;ricksroses;/user/ricksroses;Jul  6, 2013;[];0.0;0.0;0.0;0.0;inf;6
elysium;6;ricksroses;/user/ricksroses;Sep 12, 2013;[];0.0;1.0;0.0;1.0;inf;6
la-la-land;6;Edeltraud;/user/Edeltraud;Jan 28, 2017;"[ ""Sure good, if you like musicals. But like most films now about 30 minutes too long. Too many numbers with just Gosling & Stone -- why not get more background dancers involved especially with the backdrop of jazz clubs? Pool scenes were lost opportunity to do a brief Esther Williams tribute. Neither star has great vocal chops, which is OK, as it makes their characters down to earth -- still, would have enjoyed better skills - kind of thin singing & I got bored with the repetition of the theme song. Also would have been fun to have more fully developed secondary characters -- i.e. Gosling's sister shows up for 30 seconds as a foil to his messed up life but then she just disappears. Stone has all these roommates who could have provided a counterpoint to her experience but who just serve as props. A nice fantasy romance & yes it's nice to see a musical but really not quite up to all these raves -- still, miles above Mama Mia."" ]";2.0;4.0;2.0;2.0;inf;6
riddick;5;ricksroses;/user/ricksroses;Oct 10, 2013;"[ ""Not that great but not bad either... I rented all the Riddick Movies before I went to this one so I would have a foundation and not be lost or confused about the story or who the character is. I found the movie interesting but not riveting. At least It held my attention through the entire movie."" ]";0.0;1.0;0.0;1.0;inf;5
the-internship;5;ricksroses;/user/ricksroses;Jul  6, 2013;"[ ""I planed on going to this movie for a short escape from the hub bub of life. I find this movie a average bit of entertainment but kind of fun to watch. A couple of laughs and pretty good acting and a pretty good story.  Not an exceptional movie just kind of fun."" ]";1.0;1.0;1.0;0.0;inf;5
kong-skull-island;5;Edeltraud;/user/Edeltraud;Mar 11, 2017;"[ ""CGI (or whatever techniques used to make beasts) & locations are great. Enjoyed the movie as I watched it, but later it left me flat. So much more could have been done with the characters' stories, the photographer & scientists got short shrift. The natives were especially meh, no cool rituals or any action vis a vis Kong there. Overall, way too glossy, never felt the fear. Would like to see a grittier treatment, I mean, Kong had his best parts airbrushed -- come on!"" ]";1.0;2.0;1.0;1.0;inf;5
alien-covenant;5;Edeltraud;/user/Edeltraud;Jun  1, 2017;"[ ""This must have been one of those parody movies- Psycho shower scene! Mad Max flashback! Jurassic Park velociraptor! I wasn't the only one in the theater laughing at the many ridiculous \""climaxes\"" in this rickety ship. While the critters were pretty cool, R.Scott neglected to find the Hitchcockian tension that should be the bedrock of any Alien movie. Too many critters & too predictable. Not one gasp or jump out of your seat moment, sigh. I wanted a lot more creeping around corners, rustling grass before I laid eyes on the little abominations. It was way too easy to tell the good guys from the bad and too many similar characters with cookie cutter personalities. Can anyone give one memorable line of dialogue from two hours of blather? Perhaps most egregious was the dumbness of the crew upon landing on the new destination. Few precautions, poor planning, unable to handle emergencies. Just totes lackadaisical for humans exploring new territory. Anyway, I'll give it a few stars, I had fun, liked the lifeforms, didn't fall asleep (although I came close towards the end.)"" ]";5.0;11.0;5.0;6.0;inf;5
a-walk-in-the-woods;5;Edeltraud;/user/Edeltraud;Sep  3, 2015;"[ ""I'd love to give this movie a higher rating, but there are just too many soft spots, unfortunately."", ""That said, it was a pleasant enough way to get out of the heat for a while."", ""Redford & Nolte deserve credit for doing what they could ... but the fact is they are both way too old to be credible based on the original concept. And although his performance was excellent, there was way, way, way too much Nolte. I don't need to hear an old codger ha-rumphing on and on for two hours. He actually made me a little nauseous (I'm old, so I can say this.)"", ""Even tho I'm not a fan, it's like Seth Rogan and Zak Galifinakis would have been way better as the leads."", ""I agree with the Miami Herald that the humor was blah. The book was hilarious and so sublime in its funny outlook on a novice taking this grand journey. Here the goofing around came off kind of lame. Still, I admit, I did laugh at several predicaments."", ""The cinematography could have been a bit stronger, after all, that's a major part of this. Why not bring the scenery to the fore every frame. Some nice panoramic shots, but there were way more close-ups of Nolte's crimson head that look like it could explode any minute."", ""The environmental aspects of the original story were downplayed, just a nod here and there, not sure what I think about that."" ]";0.0;0.0;0.0;0.0;inf;5
cinderella;5;Edeltraud;/user/Edeltraud;Apr  4, 2015;"[ ""I can't hate on this movie, it's Cinderell-y! after all. But it could have been much better -- hey, SNL\""s live-action Bambi was better."", ""Unfortunately, what should have been the best part -- the clothes! Was the worst. Didn't like Ella's big debut ballgown which was a real letdown...nor the evil step-sisters dumb costuming, didn't even like the fair god-mum's cheesy wedding-ish look."", ""No matter how many times the movie dialogue tried to tell me the glass slipper was comfortable, I kept wishing they'd gotten manolo blahnik to design this. So clunky and ugly!"", ""Cate Blanchett's evil step-mom started out kind of interesting but soon devolved into a Joan Crawford parody, along with her dreadful 1940s costumes. What was up with that?"", ""My two main complaints were: getting hit over the head a zillion times with the moral of the story, be kind and courageous, captain. And, the over the top CGI. The story would have been way more affecting if the palace were a believable castle, out in the countryside, not some ridiculous disney mega-manse."", ""I'd have liked it if Branaugh has gone with a grittier, more realistic style."", ""The prince, Derek Jacobi's king and Cinderella were pretty good renditions of these characters. HBC as the fairy god-mum was just OK, kind of meh."", ""No complaints about the basic storyline, no feminist rant here, it was a different time and place and at least Branaugh's Cinderella got to ride a horse."" ]";0.0;0.0;0.0;0.0;inf;5
savannah;5;Edeltraud;/user/Edeltraud;Dec 15, 2013;"[ ""It's hard to explain, but this movie wasn't all that bad even though the critics panned it. You have to appreciate the good things, which are really excellent  the wonderful scenery and the chance to discover Judy Henske aka \""Queen of the Beatniks\"". Her \""Wade in the Water\"" and the rest of the score are a plus. It's an interesting story, told with good humor, although the storyline is not very clear...but at least someone tried to tell a different kind of story, one about a society in transition. Jim Caviezel's lead as Ward Allen seemed overwrought, the director got a little obvious with some of his characterizations."" ]";0.0;0.0;0.0;0.0;inf;5
amour;5;Edeltraud;/user/Edeltraud;Oct 25, 2013;"[ ""OK, good to have a topic like getting old and doing it up real, but the director did many really annoying things that served no purpose. Like five minutes of looking out on a theater audience, an old dude chasing a pigeon for half an hour, panning paintings for half a dog's life."", ""This film needed to have some flamboyant or different characters. everyone was the same morose one-note. The neighbors, kids, students, nurses. Geesh."", ""I'm very sympathetic to the story, have lived through many passings of aged parents and even a couple of contemporaries..but we had a lot more laughter and upbeat moments.."", ""I  kind of agree with the guy who said it was like sitting in a nursing home all night. I'm sure glad I didn't see this at the theater. Good performance by the old lady, but way too much artsie by the director."" ]";0.0;0.0;0.0;0.0;inf;5
nightcrawler;5;Edeltraud;/user/Edeltraud;Nov  2, 2014;"[ ""Good premise and some worthwhile momentsscenes. A great car chase (and I don't even like car chases...this one you want to see on the big screen.)"", ""Lou is sort of interesting for a while, but never becomes intriguing. I can't say this film is any better than the usual thriller (Seven, Basic Instinct, Disturbia, Insomnia) -- hardly a breakout out movie. Still, the subject matter was fun and certainly on point."", ""I saw a review that said this could be Jake's big break back to starring in movies, after a lull. (The same reviewer called him handsome...hmmm...nope.) Can't see it -- more likely, like Tony Perkins, he's such a weirdo in this he'll get pigeon-holed as a creep."" ]";2.0;7.0;2.0;5.0;inf;5
black-sea;5;Edeltraud;/user/Edeltraud;Feb  3, 2015;"[ ""I really wanted this to be a good movie. Jude Law has evolved so powerfully from his pretty boy days and he's awesome. I'd love to see him get a turn as James Bond."", ""Back to Black Sea."", ""The score is that horrible, recycled actionhorror driving music that tells you what to feel when nothing is happening. When a film is good enough, you don't need manipulative music to explain things."", ""There are several implausible plot points (can you really surface like that and not get the bends?) and a bunch of predictable stuff (although, there are a few surprises.)"", ""The cinematography was so-so. There was an opportunity to show more of the sub's path and obstacles but it was all quite murky. But the close-ups on the characters were compelling."", ""The cast was good, the culture clash interesting enough (although a little cliche). There were several spots that dragged in between the crash and burn."", ""Still, I was engaged and entertained enough for a winter's night. But as others have noted, it is grim."" ]";1.0;1.0;1.0;0.0;inf;5
